 USER  |PASSWORD|  DATE  | DESTINATION|
USER_1 | PASS_1 | 3/2/2016 | BEN |
USER_2 | PASS_2 | 4/9/2016 | CBBA |
USER_3 | PASS_3 | 4/25/2016 | SCZ |
USER_4 | PASS_4 | 5/20/2016 | CHUQ |
USER_5 | PASS_5 | 9/19/2016 | SCZ |
USER_6 | PASS_6 | 12/6/2016 | PT |
USER_7 | PASS_7 | 11/8/2016 | LP |
USER_8 | PASS_8 | 3/3/2016 | PND |
USER_9 | PASS_9 | 5/17/2016 | TRJ |
USER_10 | PASS_10 | 4/14/2016 | CBBA |
USER_11 | PASS_11 | 6/8/2016 | CHUQ |
USER_12 | PASS_12 | 1/12/2016 | PND |
USER_13 | PASS_13 | 8/13/2016 | OR |
USER_14 | PASS_14 | 6/25/2016 | TRJ |
USER_15 | PASS_15 | 11/16/2016 | PND |
USER_16 | PASS_16 | 7/11/2016 | PND |
USER_17 | PASS_17 | 10/9/2016 | PND |
USER_18 | PASS_18 | 4/26/2016 | LP |
USER_19 | PASS_19 | 7/27/2016 | SCZ |
USER_20 | PASS_20 | 12/3/2016 | SCZ |
USER_21 | PASS_21 | 12/16/2016 | CBBA |
USER_22 | PASS_22 | 10/8/2016 | CHUQ |
USER_23 | PASS_23 | 9/2/2016 | LP |
USER_24 | PASS_24 | 9/30/2016 | OR |
USER_25 | PASS_25 | 11/20/2016 | TRJ |
USER_26 | PASS_26 | 8/1/2016 | TRJ |
USER_27 | PASS_27 | 3/26/2016 | TRJ |
USER_28 | PASS_28 | 3/8/2016 | PT |
USER_29 | PASS_29 | 8/11/2016 | SCZ |
USER_30 | PASS_30 | 2/20/2016 | TRJ |
USER_31 | PASS_31 | 2/14/2016 | OR |
USER_32 | PASS_32 | 1/29/2016 | BEN |
USER_33 | PASS_33 | 8/16/2016 | PT |
USER_34 | PASS_34 | 5/4/2016 | OR |
USER_35 | PASS_35 | 6/6/2016 | OR |
USER_36 | PASS_36 | 9/27/2016 | OR |
USER_37 | PASS_37 | 5/11/2016 | CBBA |
USER_38 | PASS_38 | 8/10/2016 | LP |
USER_39 | PASS_39 | 8/11/2016 | BEN |
USER_40 | PASS_40 | 7/8/2016 | BEN |
USER_41 | PASS_41 | 4/17/2016 | LP |
USER_42 | PASS_42 | 7/26/2016 | SCZ |
USER_43 | PASS_43 | 7/18/2016 | PND |
USER_44 | PASS_44 | 2/5/2016 | TRJ |
USER_45 | PASS_45 | 10/28/2016 | CHUQ |
USER_46 | PASS_46 | 3/1/2016 | PT |
USER_47 | PASS_47 | 9/29/2016 | BEN |
USER_48 | PASS_48 | 11/17/2016 | BEN |
USER_49 | PASS_49 | 11/18/2016 | OR |
USER_50 | PASS_50 | 4/16/2016 | TRJ |
USER_51 | PASS_51 | 6/18/2016 | PND |
USER_52 | PASS_52 | 1/11/2016 | TRJ |
USER_53 | PASS_53 | 12/22/2016 | SCZ |
USER_54 | PASS_54 | 3/4/2016 | SCZ |
USER_55 | PASS_55 | 5/23/2016 | LP |
USER_56 | PASS_56 | 12/19/2016 | PND |
USER_57 | PASS_57 | 2/19/2016 | LP |
USER_58 | PASS_58 | 11/14/2016 | TRJ |
USER_59 | PASS_59 | 7/19/2016 | CBBA |
USER_60 | PASS_60 | 7/28/2016 | TRJ |
USER_61 | PASS_61 | 5/21/2016 | PT |
USER_62 | PASS_62 | 1/2/2016 | LP |
USER_63 | PASS_63 | 8/19/2016 | PND |
USER_64 | PASS_64 | 12/3/2016 | PND |
USER_65 | PASS_65 | 4/19/2016 | LP |
USER_66 | PASS_66 | 11/5/2016 | SCZ |
USER_67 | PASS_67 | 1/20/2016 | TRJ |
USER_68 | PASS_68 | 10/18/2016 | BEN |
USER_69 | PASS_69 | 10/8/2016 | CHUQ |
USER_70 | PASS_70 | 6/14/2016 | OR |
USER_71 | PASS_71 | 7/1/2016 | CBBA |
USER_72 | PASS_72 | 10/29/2016 | PT |
USER_73 | PASS_73 | 4/20/2016 | LP |
USER_74 | PASS_74 | 9/25/2016 | SCZ |
USER_75 | PASS_75 | 11/5/2016 | BEN |
USER_76 | PASS_76 | 3/27/2016 | CBBA |
USER_77 | PASS_77 | 2/11/2016 | LP |
USER_78 | PASS_78 | 6/29/2016 | BEN |
USER_79 | PASS_79 | 3/5/2016 | OR |
USER_80 | PASS_80 | 11/12/2016 | PT |
USER_81 | PASS_81 | 5/18/2016 | SCZ |
USER_82 | PASS_82 | 9/22/2016 | SCZ |
USER_83 | PASS_83 | 7/18/2016 | PND |
USER_84 | PASS_84 | 5/30/2016 | PND |
USER_85 | PASS_85 | 2/17/2016 | CBBA |
USER_86 | PASS_86 | 2/29/2016 | BEN |
USER_87 | PASS_87 | 4/3/2016 | PND |
USER_88 | PASS_88 | 5/7/2016 | TRJ |
USER_89 | PASS_89 | 11/21/2016 | TRJ |
USER_90 | PASS_90 | 5/27/2016 | PT |
USER_91 | PASS_91 | 3/9/2016 | PND |
USER_92 | PASS_92 | 5/25/2016 | SCZ |
USER_93 | PASS_93 | 3/8/2016 | CBBA |
USER_94 | PASS_94 | 1/12/2016 | TRJ |
USER_95 | PASS_95 | 6/18/2016 | PND |
USER_96 | PASS_96 | 3/15/2016 | CBBA |
USER_97 | PASS_97 | 4/8/2016 | PND |
USER_98 | PASS_98 | 1/24/2016 | TRJ |
USER_99 | PASS_99 | 5/11/2016 | PT |
USER_100 | PASS_100 | 10/28/2016 | CHUQ |
